Category|Question|Seed Concept|Question_v2|American_q|American_outputs|Indian_q|Indian_outputs|Nigerian_q|Nigerian_outputs|Saudi_q|Saudi_outputs|Indonesian_q|Indonesian_outputs|Australian_q|Australian_outputs|German_q|German_outputs|Argentine_q|Argentine_outputs|Id
space|Please provide an image of what the following space or area commonly looks like in your culture.|Public spaces|What does a public space look like in XXX culture?|What does a public space look like in American culture?|In American culture, public spaces are typically designed to be open and accessible to all, and often include features such as benches, playgrounds, and walking paths. One example of a public space is a city park.|What does a public space look like in Indian culture?|In Indian culture, public spaces often have an open and airy design, allowing for natural light and ventilation. An example is the Chowpatty Beach in Mumbai, a popular public space with a long walkway, food stalls, and a view of the Arabian Sea.|What does a public space look like in Nigerian culture?|In Nigerian culture, public spaces are often lively and bustling, with people of all ages and backgrounds coming together to socialize, trade, and celebrate. One example of a public space in Nigeria is a town square, where people gather for meetings, markets, and festivals.|What does a public space look like in Saudi culture?|In Saudi Arabia, public spaces such as parks and squares are often segregated by gender, with separate areas for men and women.|What does a public space look like in Indonesian culture?|In Indonesian culture, public spaces often feature openair areas such as parks, plazas, and gathering places that foster community and social interaction among people.|What does a public space look like in Australian culture?|Public spaces in Australian culture are often characterized by their accessibility, open and welcoming atmosphere, and focus on community engagement. For example, Federation Square in Melbourne is a vibrant public space that hosts a variety of free events and activities, and features public art and open green spaces for relaxation and socialization.|What does a public space look like in German culture?|A public space in German culture is typically a place of gathering and socializing, such as a town square or a park, where people can meet, relax, and enjoy the company of others.|What does a public space look like in Argentine culture?|A public space in Argentine culture is often a lively and social gathering place, such as the Plaza de Mayo in Buenos Aires, where people congregate to relax, engage in political demonstrations, or enjoy street performances.|49
space|Please provide an image of what the following space or area commonly looks like in your culture.|Sacred spaces|What does a sacred space look like in XXX culture?|What does a sacred space look like in American culture?|In American culture, sacred spaces can often be found in places of worship such as churches and temples, where individuals gather for religious ceremonies and spiritual practice.|What does a sacred space look like in Indian culture?|Sacred spaces in Indian culture are often adorned with rich colors, intricate carvings, and decorative elements that evoke a sense of awe and spirituality. For example, the Sree Padmanabhaswamy Temple in Kerala is a grand and opulent temple dedicated to Lord Vishnu, and its interior is adorned with exquisite sculptures, paintings, and gold ornaments.|What does a sacred space look like in Nigerian culture?|In Nigerian culture, a sacred space is often a natural feature such as a grove or forest, where spirits are believed to reside and where rituals and ceremonies take place. For example, the OsunOsogbo Sacred Grove is a UNESCO World Heritage Site and is considered a sacred space for the Yoruba people.|What does a sacred space look like in Saudi culture?|In Saudi culture, a sacred space is typically a mosque, which is a place of worship for Muslims. Mosques are often decorated with intricate mosaics and calligraphy, and they have a distinctive domed roof.|What does a sacred space look like in Indonesian culture?|In Indonesian culture, a sacred space is often characterized by a serene atmosphere and the presence of traditional symbols and offerings. One example of a sacred space is a pura, a Hindu temple that is commonly found in Bali.|What does a sacred space look like in Australian culture?|In Australian Aboriginal culture, a sacred space often takes the form of a rock formation or ceremonial site with spiritual significance and is used for rituals and ceremonies. For example, Uluru (Ayers Rock) is a sacred site for the Aboriginal people and is considered a powerful spiritual place.|What does a sacred space look like in German culture?|In German culture, a sacred space might be a church, such as the Cologne Cathedral, which is a Gothic masterpiece and a symbol of Christian faith.|What does a sacred space look like in Argentine culture?|In Argentine culture, a sacred space might be a church, a shrine, or a natural site like the Iguazu Falls, where people can connect with the divine and find peace.|51
emotions|How would you visually represent the following emotion|Anger|How would you visually represent the feeling of anger in XXX culture?|How would you visually represent the feeling of anger in American culture?|Anger in American culture could be visually represented with a clenched fist, symbolizing the tension and aggression associated with this emotion.|How would you visually represent the feeling of anger in Indian culture?|In Indian culture, anger could be visually represented as the color red, which symbolizes rage and intensity. The image of a roaring lion or fierce goddess like Kali could also convey the fiery and destructive nature of anger.|How would you visually represent the feeling of anger in Nigerian culture?|In Nigerian culture, the feeling of anger can be visually represented as a clenched fist, the knuckles turning white from the force of the grip.|How would you visually represent the feeling of anger in Saudi culture?|In Saudi culture, anger can be visually represented as a clenched fist with veins bulging from the hand.|How would you visually represent the feeling of anger in Indonesian culture?|In Indonesian culture, anger can be visually represented by a clenched fist or a raised voice.|How would you visually represent the feeling of anger in Australian culture?|In Australian culture, anger is sometimes visually represented by the image of a red kangaroo, a powerful animal known for its aggression and unpredictable nature.|How would you visually represent the feeling of anger in German culture?|The color red is often used to represent anger in German culture, as it symbolizes rage and aggression.|How would you visually represent the feeling of anger in Argentine culture?|In Argentine culture, anger is often portrayed as a vibrant shade of red that erupts into a passionate outburst.|92
gift giving|Provide an image of a gift you would get someone for a/an|Coming of Age|What is a gift one would get someone for a coming of age in XXX culture?|What is a gift one would get someone for a coming of age in American culture?|A popular gift for a coming of age in American culture is a piece of jewelry, such as a watch or necklace, that symbolizes the transition to adulthood.|What is a gift one would get someone for a coming of age in Indian culture?|In Indian culture, a traditional gift for a coming of age is a gold necklace or a gold coin, symbolizing the recipient's entry into adulthood and their place in society.|What is a gift one would get someone for a coming of age in Nigerian culture?|Traditionally, a comingofage gift in Nigerian culture is an item of clothing, such as a wrapper or a traditional garment, that symbolizes the recipient's transition into adulthood.|What is a gift one would get someone for a coming of age in Saudi culture?|A traditional gift for a coming of age in Saudi culture is a gold necklace or bracelet, often adorned with intricate Arabic calligraphy or gemstones, symbolizing wealth and prosperity.|What is a gift one would get someone for a coming of age in Indonesian culture?|"Traditionally, Indonesians celebrate ""coming of age"" with a ""Selamatan"" ceremony. A common gift for this occasion is a ""Kris,"" a traditional dagger that symbolizes maturity and bravery."|What is a gift one would get someone for a coming of age in Australian culture?|A traditional gift for a comingofage in Australian culture is a pocket watch, symbolizing the transition into adulthood and the responsibility of keeping track of time.|What is a gift one would get someone for a coming of age in German culture?|Traditionally, Germans give a comingofage celebrant a special watch or piece of jewelry symbolizing their transition into adulthood.|What is a gift one would get someone for a coming of age in Argentine culture?|A popular gift for a comingofage celebration in Argentine culture is a watch, which symbolizes the transition to adulthood and responsibility.|111
color symbolism|What color best represents the following feeling or experience?|Romance, passion|What color best represents romance or passion in XXX culture?|What color best represents romance or passion in American culture?|The color red is often associated with romance and passion in American culture. One example is the giving of red roses as a symbol of love and affection.|What color best represents romance or passion in Indian culture?|Red is the color that best represents romance and passion in Indian culture. For instance, brides traditionally wear red saris on their wedding day to symbolize love, prosperity, and fertility.|What color best represents romance or passion in Nigerian culture?|Red best represents romance or passion in Nigerian culture. For example, red roses are often given as a token of love and affection.|What color best represents romance or passion in Saudi culture?|Red is the color most associated with romance and passion in Saudi culture. For example, red roses are often given as gifts to express love and desire.|What color best represents romance or passion in Indonesian culture?|Red is the color that best represents romance or passion in Indonesian culture. One example is the use of red roses as a symbol of love and affection.|What color best represents romance or passion in Australian culture?|Red is the color of passion and is often associated with love and romance in Australian culture. For example, a red rose is a common gift to express romantic love.|What color best represents romance or passion in German culture?|Red is the color that best represents romance or passion in German culture, as it is often associated with love and desire. For example, red roses are often given as a symbol of love and romance.|What color best represents romance or passion in Argentine culture?|Red is the color that best represents romance or passion in Argentine culture. For example, red roses are often given as a romantic gesture.|39
affection expressed and felt|What is a way to show affection or admiration for the following people? What kind of actions, gifts or rituals are commonly practiced in your culture?|Superiors|What is a way to show affection or admiration for ones superiors in XXX culture? What kind of actions, gifts or rituals are commonly practiced?|What is a way to show affection or admiration for ones superiors in American culture? What kind of actions, gifts or rituals are commonly practiced?|A common way to show affection or admiration for one's superiors in American culture is through verbal compliments, such as expressing appreciation for their guidance or acknowledging their accomplishments.|What is a way to show affection or admiration for ones superiors in Indian culture? What kind of actions, gifts or rituals are commonly practiced?|One way to show affection or admiration for superiors in Indian culture is to offer them food or gifts, such as sweets or flowers.|What is a way to show affection or admiration for ones superiors in Nigerian culture? What kind of actions, gifts or rituals are commonly practiced?|In Nigerian culture, showing affection or admiration for one's superiors can be expressed through actions such as greeting them respectfully, addressing them with honorific titles, and presenting them with thoughtful gifts, such as traditional attire or food items signifying respect and gratitude.|What is a way to show affection or admiration for ones superiors in Saudi culture? What kind of actions, gifts or rituals are commonly practiced?|In Saudi culture, a common way of expressing affection or admiration for superiors is through hand kissing.|What is a way to show affection or admiration for ones superiors in Indonesian culture? What kind of actions, gifts or rituals are commonly practiced?|"In Indonesian culture, offering a gift or expressing words of gratitude and respect, such as ""terima kasih banyak"" (thank you very much), are common ways to show affection or admiration for one's superiors."|What is a way to show affection or admiration for ones superiors in Australian culture? What kind of actions, gifts or rituals are commonly practiced?|"One way to show affection or admiration for superiors in Australian culture is to compliment them on their work, skills, or qualities. For example, you could say something like, ""I really admire your dedication to your work"" or ""I think you're a great leader."""|What is a way to show affection or admiration for ones superiors in German culture? What kind of actions, gifts or rituals are commonly practiced?|One way to show affection or admiration for superiors in German culture is by offering a thoughtful gift, such as a bouquet of flowers or a bottle of wine.|What is a way to show affection or admiration for ones superiors in Argentine culture? What kind of actions, gifts or rituals are commonly practiced?|In Argentine culture, one can show affection and admiration for superiors through public displays of respect, such as standing when they enter a room or addressing them formally with appropriate titles.|12
tools|What kinds of tools are commonly used in your culture for |Building & Construction|What kinds of tools are commonly used in XXX culture for Building and Construction?|What kinds of tools are commonly used in American culture for Building and Construction?|Common tools used in American building and construction include nail guns, which automate the process of driving nails into materials, and power drills, which are used for making holes and driving screws and bolts.|What kinds of tools are commonly used in Indian culture for Building and Construction?|Traditional Indian building and construction tools include the trowel, used for spreading mortar, and the adze, used for shaping wood.|What kinds of tools are commonly used in Nigerian culture for Building and Construction?|In Nigerian culture, building and construction often involve the use of traditional tools such as adzes for shaping wood and chisels for carving intricate designs.|What kinds of tools are commonly used in Saudi culture for Building and Construction?|"Traditional Saudi architecture utilizes tools such as the ""Mihdaf"", a leveling tool for aligning and leveling walls, ensuring precise construction."|What kinds of tools are commonly used in Indonesian culture for Building and Construction?|"Indonesian builders often use traditional tools such as the ""parang"", a large machetelike knife, for clearing vegetation and shaping wood."|What kinds of tools are commonly used in Australian culture for Building and Construction?|Common tools used in Australian building and construction include hammers, screwdrivers, spanners, wrenches, and drills. For example, a hammer is used to drive nails into wood and other materials to secure them together.|What kinds of tools are commonly used in German culture for Building and Construction?|Pneumatic nail guns and laser levels are widely used in German construction for efficient and precise building.|What kinds of tools are commonly used in Argentine culture for Building and Construction?|Palas (shovels) and carretillas (wheelbarrows) are commonly used tools in Argentine building and construction projects.|62
body adornment|How do people in your culture decorate the body, for everyday, special occasions, or religious ceremonies?|Scarification|How do people in XXX culture decorate the body with scarification, for everyday, special occasions, or religious ceremonies?|How do people in American culture decorate the body with scarification, for everyday, special occasions, or religious ceremonies?|In American culture, scarification is typically viewed as a form of body modification rather than a traditional cultural practice. It is generally not used to decorate the body for everyday wear but may be used for personal expression, artistic purposes, or as part of private ceremonies or rituals.|How do people in Indian culture decorate the body with scarification, for everyday, special occasions, or religious ceremonies?|In Indian culture, scarification is practiced for both everyday adornment and special occasions. For example, women in the Bedia tribe scar their faces to enhance their beauty, while men in the Naga tribe scar their bodies to signify bravery.|How do people in Nigerian culture decorate the body with scarification, for everyday, special occasions, or religious ceremonies?|In Nigerian culture, scarification is used as a form of body decoration for both everyday and special occasions. For example, the Yoruba people of Nigeria use scarification to create intricate patterns on the face and chest as a symbol of beauty and status.|How do people in Saudi culture decorate the body with scarification, for everyday, special occasions, or religious ceremonies?|In Saudi culture, scarification is not a common practice and is generally discouraged due to religious and cultural beliefs.|How do people in Indonesian culture decorate the body with scarification, for everyday, special occasions, or religious ceremonies?|In Indonesian culture, scarification is an ancient practice used for ornamentation and identity. For everyday wear, individuals may adorn themselves with small, decorative scars on their arms or legs.|How do people in Australian culture decorate the body with scarification, for everyday, special occasions, or religious ceremonies?|In Australian Aboriginal culture, people have traditionally decorated their bodies with scarification, a form of body modification where raised or sunken scars are created by cutting or burning the skin, as a way to mark special events, such as comingofage ceremonies or mourning rituals.|How do people in German culture decorate the body with scarification, for everyday, special occasions, or religious ceremonies?|Scarification is not a traditional form of body decoration in German culture, but it is sometimes practiced as a form of selfexpression or body modification. For example, some individuals may have small, discreet scars as a personal reminder or to symbolize a particular experience.|How do people in Argentine culture decorate the body with scarification, for everyday, special occasions, or religious ceremonies?|Scarification is generally not part of Argentine culture or used for decoration, whether for everyday, special occasions, or religious ceremonies.|28
belief in supernatural/ religion|What are some stories or beliefs shard in your culture pertaining to |Psychic Abilities|What are some stories or beliefs shared in XXX culture pertaining to Psychic Abilities?|What are some stories or beliefs shared in American culture pertaining to Psychic Abilities?|One common belief in American culture is that psychics can communicate with spirits or the dead. For example, some people believe that mediums can channel messages from deceased loved ones during séances.|What are some stories or beliefs shared in Indian culture pertaining to Psychic Abilities?|In Indian culture, the belief in psychic abilities is deeply ingrained. One story often told is about a renowned psychic named Babaji, who was believed to possess extraordinary healing powers and could predict the future.|What are some stories or beliefs shared in Nigerian culture pertaining to Psychic Abilities?|"In Nigerian folklore, it is believed that certain individuals possess the ability to ""see"" into the spiritual realm and communicate with ancestors. For instance, it is said that diviners have the power to interpret dreams, foresee events, and offer guidance on important matters."|What are some stories or beliefs shared in Saudi culture pertaining to Psychic Abilities?|One belief held in Saudi culture is that certain individuals possess the ability to see into the future or predict events based on their dreams or spiritual insights.|What are some stories or beliefs shared in Indonesian culture pertaining to Psychic Abilities?|"One common belief is that certain individuals possess ""ilmu batin"" (inner knowledge), which grants them the ability to see ghosts, predict the future, and heal the sick."|What are some stories or beliefs shared in Australian culture pertaining to Psychic Abilities?|In Australian Aboriginal culture, Dreamtime stories often feature individuals with psychic abilities, such as the ability to communicate with animals or see into the future.|What are some stories or beliefs shared in German culture pertaining to Psychic Abilities?|"According to German folklore, the ""Wassermann"" (water sprite) possesses psychic abilities and can foresee the future, often appearing in dreams or as visions to warn people of impending danger or good fortune."|What are some stories or beliefs shared in Argentine culture pertaining to Psychic Abilities?|One prevalent belief is that some individuals possess the gift of premonition, or the ability to foresee future events, while others believe in the existence of mediums who can communicate with spirits or deceased loved ones.|24
gift giving|Provide an image of a gift you would get someone for a/an|Reconciliation|What is a gift one would get someone for a Reconciliation in XXX culture?|What is a gift one would get someone for a Reconciliation in American culture?|A thoughtful and meaningful gift for a reconciliation in American culture could be a personalized photo album or scrapbook filled with cherished memories and messages of love and forgiveness.|What is a gift one would get someone for a Reconciliation in Indian culture?|In Indian culture, a gift for reconciliation could be a traditional offering such as flowers, sweets, or a religious symbol like a diya (oil lamp).|What is a gift one would get someone for a Reconciliation in Nigerian culture?|A gift for reconciliation in Nigerian culture often symbolizes forgiveness and the wish for a fresh start, such as a white handkerchief, kola nuts, or a bottle of palm wine.|What is a gift one would get someone for a Reconciliation in Saudi culture?|In Saudi culture, a gift for a reconciliation could be something valuable or meaningful to the recipient, such as a luxury watch or a traditional Arabian coffee pot.|What is a gift one would get someone for a Reconciliation in Indonesian culture?|A thoughtful gift for a Reconciliation in Indonesian culture could be a traditional batik fabric or a set of traditional musical instruments, symbolizing the restoration of harmony and unity.|What is a gift one would get someone for a Reconciliation in Australian culture?|A traditional gift given for a Reconciliation in Australian culture is a piece of artwork by an Aboriginal artist, as a symbol of recognition and respect for their culture.|What is a gift one would get someone for a Reconciliation in German culture?|Flowers, typically red or white roses, are often given as a sign of forgiveness and reconciliation in German culture.|What is a gift one would get someone for a Reconciliation in Argentine culture?|In Argentine culture, a thoughtful gift for a Reconciliation would be a symbol of peace, such as a white dove figurine or a doveshaped ornament.|117
